shirtNumber,position,country,name
2,DF,England,Kyle Walker
3,DF,Portugal,Rúben Dias 
4,MF,England,Kalvin Phillips
5,DF,England,John Stones
6,DF,Netherlands,Nathan Aké
7,DF,Portugal,João Cancelo
8,MF,Germany,İlkay Gündoğan 
9,FW,Norway,Erling Haaland
10,MF,England,Jack Grealish
14,DF,Spain,Aymeric Laporte
16,MF,Spain,Rodri
17,MF,Belgium,Kevin De Bruyne
18,GK,Germany,Stefan Ortega
19,FW,Argentina,Julián Álvarez
20,MF,Portugal,Bernardo Silva
21,DF,Spain,Sergio Gómez
26,FW,Algeria,Riyad Mahrez
31,GK,Brazil,Ederson
33,GK,England,Scott Carson
47,MF,England,Phil Foden
80,MF,England,Cole Palmer
82,DF,England,Rico Lewis
